freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.609e+02,8.711e+02,3.406e+01,1.566e+03
1.6,6.506e+02,6.217e+03,1.257e+02,6.993e+03
3.2,3.647e+02,9.016e+03,1.472e+02,9.528e+03
4.8,7.403e+02,9.577e+03,1.313e+02,1.045e+04
6.3,1.653e+03,1.030e+04,1.396e+02,1.209e+04
7.9,2.413e+03,1.049e+04,1.418e+02,1.304e+04
9.5,3.341e+03,9.984e+03,1.334e+02,1.346e+04
11.1,4.551e+03,8.913e+03,1.354e+02,1.360e+04
12.7,6.080e+03,8.814e+03,1.223e+02,1.502e+04
14.3,7.636e+03,1.027e+04,1.364e+02,1.805e+04
15.9,8.839e+03,1.131e+04,2.083e+02,2.036e+04
17.5,9.623e+03,1.171e+04,2.719e+02,2.161e+04
19.0,1.225e+04,1.053e+04,2.560e+02,2.304e+04
20.6,1.361e+04,9.883e+03,2.139e+02,2.371e+04
22.2,1.512e+04,1.032e+04,1.644e+02,2.561e+04
23.8,1.890e+04,1.096e+04,1.684e+02,3.003e+04
25.4,2.389e+04,1.105e+04,1.798e+02,3.511e+04
27.0,3.120e+04,1.046e+04,2.034e+02,4.187e+04
28.6,3.490e+04,1.033e+04,2.582e+02,4.549e+04
30.1,2.844e+04,1.009e+04,2.332e+02,3.877e+04
31.7,2.784e+04,1.042e+04,2.394e+02,3.850e+04
33.3,3.377e+04,1.034e+04,2.835e+02,4.440e+04
34.9,4.033e+04,9.817e+03,3.437e+02,5.049e+04
36.5,4.364e+04,9.979e+03,3.830e+02,5.400e+04
38.1,4.480e+04,1.031e+04,4.364e+02,5.554e+04
39.7,4.632e+04,1.083e+04,3.337e+02,5.748e+04
41.3,4.983e+04,1.071e+04,2.676e+02,6.080e+04
42.8,5.568e+04,1.062e+04,2.149e+02,6.651e+04
44.4,6.344e+04,1.003e+04,1.691e+02,7.365e+04
46.0,7.637e+04,9.644e+03,1.455e+02,8.615e+04
47.6,9.047e+04,9.641e+03,1.411e+02,1.003e+05
49.2,1.042e+05,1.002e+04,1.810e+02,1.144e+05
50.8,1.200e+05,1.080e+04,5.322e+02,1.313e+05
52.4,1.329e+05,1.288e+04,1.998e+03,1.478e+05
53.9,1.391e+05,1.177e+04,1.881e+03,1.527e+05
55.5,1.398e+05,1.067e+04,1.627e+03,1.521e+05
57.1,1.414e+05,1.058e+04,1.804e+03,1.538e+05
58.7,1.501e+05,1.075e+04,2.031e+03,1.629e+05
60.3,1.831e+05,1.231e+04,2.156e+03,1.976e+05
61.9,2.385e+05,1.163e+04,1.969e+03,2.521e+05
63.5,3.101e+05,1.078e+04,1.512e+03,3.224e+05
65.0,3.935e+05,1.088e+04,1.168e+03,4.055e+05
66.6,4.788e+05,1.234e+04,9.001e+02,4.921e+05
68.2,5.810e+05,1.189e+04,6.473e+02,5.936e+05
69.8,7.916e+05,1.122e+04,4.320e+02,8.032e+05
71.4,1.109e+06,1.037e+04,3.967e+02,1.119e+06
73.0,1.448e+06,9.726e+03,4.711e+02,1.458e+06
74.6,1.825e+06,1.032e+04,6.039e+02,1.836e+06
76.2,2.266e+06,1.121e+04,8.236e+02,2.278e+06
77.7,2.793e+06,1.042e+04,9.825e+02,2.805e+06
79.3,3.331e+06,1.046e+04,1.018e+03,3.343e+06
80.9,3.682e+06,1.164e+04,9.704e+02,3.695e+06
82.5,3.375e+06,1.231e+04,8.833e+02,3.389e+06
84.1,2.981e+06,1.651e+04,8.848e+02,2.999e+06
85.7,2.565e+06,2.170e+04,9.810e+02,2.588e+06
87.3,2.019e+06,2.398e+04,9.830e+02,2.044e+06
88.8,1.482e+06,2.513e+04,9.286e+02,1.509e+06
90.4,1.087e+06,2.759e+04,9.882e+02,1.115e+06
92.0,8.214e+05,3.198e+04,1.045e+03,8.544e+05
93.6,6.534e+05,3.484e+04,1.184e+03,6.895e+05
95.2,5.642e+05,3.808e+04,1.417e+03,6.037e+05
96.8,5.147e+05,3.800e+04,1.626e+03,5.544e+05
98.4,4.729e+05,3.343e+04,1.771e+03,5.081e+05
100.0,4.441e+05,3.286e+04,1.751e+03,4.788e+05
101.5,4.149e+05,3.400e+04,1.712e+03,4.506e+05
103.1,3.701e+05,3.468e+04,1.543e+03,4.064e+05
104.7,2.785e+05,3.667e+04,1.495e+03,3.167e+05
106.3,1.762e+05,3.378e+04,1.267e+03,2.113e+05
107.9,8.465e+04,2.735e+04,9.843e+02,1.130e+05
109.5,4.409e+04,2.266e+04,7.841e+02,6.753e+04
111.1,4.023e+04,2.001e+04,8.125e+02,6.105e+04
112.6,3.301e+04,1.902e+04,1.358e+03,5.339e+04
114.2,3.048e+04,1.783e+04,1.726e+03,5.004e+04
115.8,3.763e+04,1.897e+04,2.236e+03,5.884e+04
117.4,4.672e+04,1.620e+04,2.231e+03,6.515e+04
119.0,5.687e+04,1.470e+04,2.096e+03,7.366e+04
120.6,6.633e+04,1.922e+04,2.424e+03,8.797e+04
122.2,7.349e+04,2.242e+04,2.618e+03,9.853e+04
123.8,7.415e+04,2.190e+04,2.894e+03,9.894e+04
125.3,6.311e+04,2.038e+04,3.190e+03,8.668e+04
126.9,4.252e+04,1.730e+04,2.821e+03,6.265e+04
128.5,2.947e+04,1.801e+04,1.968e+03,4.945e+04
130.1,2.565e+04,1.580e+04,1.255e+03,4.271e+04
131.7,2.457e+04,1.236e+04,1.130e+03,3.806e+04
133.3,1.176e+04,1.070e+04,1.334e+03,2.379e+04
134.9,1.653e+03,9.807e+03,1.668e+03,1.313e+04
136.4,1.121e+03,1.167e+04,2.200e+03,1.499e+04
138.0,1.414e+03,1.281e+04,3.015e+03,1.724e+04
139.6,1.639e+03,1.154e+04,4.236e+03,1.741e+04
141.2,1.452e+03,9.562e+03,5.464e+03,1.648e+04
142.8,1.100e+03,9.132e+03,6.187e+03,1.642e+04
144.4,9.605e+02,1.112e+04,6.918e+03,1.900e+04
146.0,9.286e+02,1.209e+04,7.591e+03,2.061e+04
147.6,8.514e+02,1.036e+04,8.182e+03,1.939e+04
149.1,8.778e+02,9.414e+03,8.948e+03,1.924e+04
150.7,9.178e+02,9.409e+03,9.544e+03,1.987e+04
