freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.163e+02,8.418e+02,4.210e+01,1.000e+03
1.6,2.106e+02,2.698e+03,8.563e+01,2.994e+03
3.2,1.525e+02,2.990e+03,8.496e+01,3.227e+03
4.8,1.753e+02,2.740e+03,8.122e+01,2.997e+03
6.3,1.836e+02,3.614e+03,8.417e+01,3.881e+03
7.9,1.824e+02,4.444e+03,8.192e+01,4.708e+03
9.5,1.583e+02,5.515e+03,8.389e+01,5.757e+03
11.1,1.614e+02,6.967e+03,8.826e+01,7.217e+03
12.7,1.579e+02,8.978e+03,8.297e+01,9.218e+03
14.3,1.760e+02,1.084e+04,7.736e+01,1.109e+04
15.9,1.932e+02,1.252e+04,8.051e+01,1.280e+04
17.4,1.807e+02,1.646e+04,9.292e+01,1.673e+04
19.0,1.590e+02,2.176e+04,1.185e+02,2.204e+04
20.6,2.268e+02,2.209e+04,1.410e+02,2.246e+04
22.2,3.183e+02,1.661e+04,1.580e+02,1.708e+04
23.8,3.679e+02,1.636e+04,2.383e+02,1.697e+04
25.4,3.889e+02,1.979e+04,5.535e+02,2.073e+04
27.0,5.720e+02,2.615e+04,2.185e+03,2.891e+04
28.5,8.793e+02,3.817e+04,9.490e+03,4.854e+04
30.1,1.527e+03,5.393e+04,2.121e+04,7.667e+04
31.7,2.183e+03,6.620e+04,3.086e+04,9.924e+04
33.3,2.324e+03,6.001e+04,3.039e+04,9.272e+04
34.9,1.802e+03,3.830e+04,1.741e+04,5.752e+04
36.5,1.136e+03,2.840e+04,1.017e+04,3.971e+04
38.1,9.475e+02,2.777e+04,7.563e+03,3.628e+04
39.6,8.818e+02,3.078e+04,6.125e+03,3.778e+04
41.2,9.613e+02,4.072e+04,4.697e+03,4.638e+04
42.8,7.968e+02,5.680e+04,2.950e+03,6.055e+04
44.4,5.511e+02,6.874e+04,2.191e+03,7.149e+04
46.0,5.937e+02,7.997e+04,3.471e+03,8.403e+04
47.6,1.295e+03,8.087e+04,7.751e+03,8.991e+04
49.2,1.549e+03,7.249e+04,1.101e+04,8.505e+04
